STATE,LAW ENFORCEMENT AGENCY,TYPE,COUNTY,SUPPORT TYPE,SIGNED,MOA,ADDENDUM,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Clay County Sheriff's Office,County,Clay County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Clearwater Police Department,Municipality,#N/A,Task Force Model,2025-02-28 00:00:00,link,,,,,,
FLORIDA,Clermont Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,Clewiston Police Department,Municipality,Hendry County ,Task Force Model,2025-07-24 00:00:00,link,,,,,,
FLORIDA,Cocoa Beach Police Department,Municipality,#N/A,Task Force Model,2025-03-25 00:00:00,link,,,,,,
FLORIDA,Cocoa Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Coconut Creek Police Department,Municipality,#N/A,Task Force Model,2025-06-13 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Jail Enforcement Model,2020-06-09 00:00:00,link,,,,,,
FLORIDA,Collier County Sheriff's Office,County,Collier County ,Task Force Model,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Warrant Service Officer,2019-05-06 00:00:00,link,,,,,,
FLORIDA,Columbia County Sheriff's Office,County,Columbia County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Coral Gables Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Davenport Police Department,Municipality,#N/A,Task Force Model,2025-04-25 00:00:00,link,,,,,,
FLORIDA,Davie Police Department,Municipality,#N/A,Task Force Model,2025-03-07 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Police Department,Municipality,#N/A,Task Force Model,2025-04-29 00:00:00,link,,,,,,
FLORIDA,Daytona Beach Shores Public Safety,Municipality,#N/A,Task Force Model,2025-03-10 00:00:00,link,,,,,,
FLORIDA,Deland Police Department,Municipality,#N/A,Task Force Model,2025-03-05 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Warrant Service Officer,2019-10-15 00:00:00,link,,,,,,
FLORIDA,DeSoto County Sheriff's Office,County,DeSoto County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Warrant Service Officer,2025-02-24 00:00:00,link,,,,,,
FLORIDA,Dixie County Sheriff's Office,County,Dixie County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Eatonville Police Department,Municipality,#N/A,Task Force Model,2025-06-18 00:00:00,link,,,,,,
FLORIDA,Edgewater Police Department,Municipality,#N/A,Task Force Model,2025-07-02 00:00:00,link,,,,,,
FLORIDA,Edgewood Police Department,Municipality,#N/A,Task Force Model,2025-04-10 00:00:00,link,,,,,,
FLORIDA,Escambia County Board of County Commissioners/ Department of Corrections ,County,Escambia County ,Warrant Service Officer,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Escambia County Sheriff's Office,County,Escambia County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Eustis Police Department,Municipality,#N/A,Task Force Model,2025-04-02 00:00:00,link,,,,,,
FLORIDA,Fellsmere Police Department,Municipality,#N/A,Task Force Model,2025-04-23 00:00:00,link,,,,,,
FLORIDA,Flagler Beach Police Department,Municipality,Flagler County ,Task Force Model,2025-07-23 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Warrant Service Officer,2019-09-09 00:00:00,link,,,,,,
FLORIDA,Flagler County Sheriff's Office,County,Flagler County ,Task Force Model,2025-02-26 00:00:00,link,,,,,,
FLORIDA,Florida A&M University Board of Trustees,State Agency,#N/A,Task Force Model,2025-04-15 00:00:00,link,,,,,,
